Category;Title;Description;Amount;Price;Lang
Wines;JUHÁSZ;fehér / félédes;150 ml;10;RO
Wines;JUHÁSZ;fehér / félédes;150 ml;10;EN
Champagne;CA'DI RAJO;prosecco;750 ml;80;HU
Champagne;CA'DI RAJO;prosecco;750 ml;80;RO
Champagne;CA'DI RAJO;prosecco;750 ml;80;EN
Champagne;CA'DI RAJO;prosecco;150 ml;15;HU
Champagne;CA'DI RAJO;prosecco;150 ml;15;RO
Champagne;CA'DI RAJO;prosecco;150 ml;15;EN
Champagne;CA'DI RAJO VALDOBBIADENE;prosecco;750 ml;200;HU
Champagne;CA'DI RAJO VALDOBBIADENE;prosecco;750 ml;200;RO
Champagne;CA'DI RAJO VALDOBBIADENE;prosecco;750 ml;200;EN
Champagne;BELAIRE Luxe Rosé;750 ml;500;HU
Champagne;BELAIRE Luxe Rosé;750 ml;500;RO
Champagne;BELAIRE Luxe Rosé;750 ml;500;EN
Champagne;Möet&Chandon;750 ml;550;HU
Champagne;Möet&Chandon;750 ml;550;RO
Champagne;Möet&Chandon;750 ml;550;EN
Hookahs;VÍZIPIPA 20 GR DOHÁNNYAL;narghilea cu tutun 20 gr;;45;HU
Hookahs;Narghilea cu 20 g tutun;narghilea cu 20 g tutun;;45;RO
Hookahs;Hookah with 20 g tobacco;hookah with 20 g tobacco;;45;EN
Hookahs;VÍZIPIPA JEGES SZÍVÓVÉGGEL;narghilea cu ice bazooka;;45;HU
Hookahs;Narghilea cu Ice Bazooka;narghilea cu ice bazooka;;45;RO
Hookahs;Hookah with ice mouthpiece;hookah with ice bazooka;;45;EN
Hookahs;PRÉMIUM VÍZIPIPA QUASAR KERÁMIÁVAL ÉS 35 GR DOHÁNNYAL;;;60;HU
Hookahs;Narghilea Premium cu creuzet Quasar și 35 g tutun;;;60;RO
Hookahs;Premium hookah with Quasar bowl and 35 g tobacco;;;60;EN
Hookahs;PRÉMIUM VÍZIPIPA QUASAR KERÁMIÁVAL, 35 GR DOHÁNNYAL ÉS ALKOHOLLAL;;;80;HU
Hookahs;Narghilea Premium Quasar 35 g + alcool;;;80;RO
Hookahs;Premium hookah (Quasar) 35 g + alcohol;;;80;EN
Snacks;POPCORN;vajas / sajtos / sós;;5;HU
Snacks;POPCORN;cu unt / cu brânză / sărat;;5;RO
Snacks;POPCORN;butter / cheese / salted;;5;EN
Snacks;CHIPS;bbq / sajtos / sós;;8;HU
Snacks;CHIPS;BBQ / cu brânză / sărat;;8;RO
Snacks;CHIPS;BBQ / cheese / salted;;8;EN
Snacks;MOGYORÓ;;100 gr;5;HU
Snacks;Arahide;;100 g;5;RO
Snacks;Peanuts;;100 g;5;EN
Snacks;ROPI;;100 gr;5;HU
Snacks;Ropi (sticksuri sărate);;100 g;5;RO
Snacks;Salty pretzel sticks;;100 g;5;EN


